## PCI ##
PCI Device: 0000:00:00.0: Class 0x00060000, Vendor 0x1022, Device 0x1630, Revision 0x00
PCI Device: 0000:00:00.2: Class 0x00080600, Vendor 0x1022, Device 0x1631, Revision 0x00
PCI Device: 0000:00:01.0: Class 0x00060000, Vendor 0x1022, Device 0x1632, Revision 0x00
PCI Device: 0000:00:01.1: Class 0x00060400, Vendor 0x1022, Device 0x1633, Revision 0x00
PCI Device: 0000:00:01.2: Class 0x00060400, Vendor 0x1022, Device 0x1634, Revision 0x00
PCI Device: 0000:00:02.0: Class 0x00060000, Vendor 0x1022, Device 0x1632, Revision 0x00
PCI Device: 0000:00:02.4: Class 0x00060400, Vendor 0x1022, Device 0x1634, Revision 0x00
PCI Device: 0000:00:08.0: Class 0x00060000, Vendor 0x1022, Device 0x1632, Revision 0x00
PCI Device: 0000:00:08.1: Class 0x00060400, Vendor 0x1022, Device 0x1635, Revision 0x00
PCI Device: 0000:00:08.2: Class 0x00060400, Vendor 0x1022, Device 0x1635, Revision 0x00
PCI Device: 0000:00:14.0: Class 0x000C0500, Vendor 0x1022, Device 0x790B, Revision 0x51
PCI Device: 0000:00:14.3: Class 0x00060100, Vendor 0x1022, Device 0x790E, Revision 0x51
PCI Device: 0000:00:18.0: Class 0x00060000, Vendor 0x1022, Device 0x166A, Revision 0x00
PCI Device: 0000:00:18.1: Class 0x00060000, Vendor 0x1022, Device 0x166B, Revision 0x00
PCI Device: 0000:00:18.2: Class 0x00060000, Vendor 0x1022, Device 0x166C, Revision 0x00
PCI Device: 0000:00:18.3: Class 0x00060000, Vendor 0x1022, Device 0x166D, Revision 0x00
PCI Device: 0000:00:18.4: Class 0x00060000, Vendor 0x1022, Device 0x166E, Revision 0x00
PCI Device: 0000:00:18.5: Class 0x00060000, Vendor 0x1022, Device 0x166F, Revision 0x00
PCI Device: 0000:00:18.6: Class 0x00060000, Vendor 0x1022, Device 0x1670, Revision 0x00
PCI Device: 0000:00:18.7: Class 0x00060000, Vendor 0x1022, Device 0x1671, Revision 0x00
PCI Device: 0000:01:00.0: Class 0x00030000, Vendor 0x10DE, Device 0x2520, Revision 0xA1
PCI Device: 0000:01:00.1: Class 0x00040300, Vendor 0x10DE, Device 0x228E, Revision 0xA1
PCI Device: 0000:02:00.0: Class 0x00028000, Vendor 0x8086, Device 0x2723, Revision 0x1A
PCI Device: 0000:03:00.0: Class 0x00020000, Vendor 0x10EC, Device 0x8125, Revision 0x05
PCI Device: 0000:04:00.0: Class 0x00030000, Vendor 0x1002, Device 0x1638, Revision 0xC4
PCI Device: 0000:04:00.1: Class 0x00040300, Vendor 0x1002, Device 0x1637, Revision 0x00
PCI Device: 0000:04:00.2: Class 0x00108000, Vendor 0x1022, Device 0x15DF, Revision 0x00
PCI Device: 0000:04:00.3: Class 0x000C0330, Vendor 0x1022, Device 0x1639, Revision 0x00
PCI Device: 0000:04:00.4: Class 0x000C0330, Vendor 0x1022, Device 0x1639, Revision 0x00
PCI Device: 0000:04:00.5: Class 0x00048000, Vendor 0x1022, Device 0x15E2, Revision 0x01
PCI Device: 0000:04:00.6: Class 0x00040300, Vendor 0x1022, Device 0x15E3, Revision 0x00
PCI Device: 0000:05:00.0: Class 0x00010601, Vendor 0x1022, Device 0x7901, Revision 0x81
PCI Device: 0000:05:00.1: Class 0x00010601, Vendor 0x1022, Device 0x7901, Revision 0x81
## GPIO ##
B450 FCH
GPIO0 0xff 0x0005f8e0
GPIO1 0xff 0x00050000
GPIO2 0xff 0x00040000
GPIO3 0xff 0x00040000
GPIO4 0xff 0x00050000
GPIO5 0xff 0x00240000
GPIO6 0xff 0x00240000
GPIO7 0xff 0x00c50000
GPIO8 0xff 0x00050000
GPIO9 0xff 0x00055b00
GPIO10 0xff 0x00150000
GPIO11 0xff 0x00840000
GPIO12 0xff 0x00840700
GPIO13 0xff 0x00000000
GPIO14 0xff 0x00000000
GPIO15 0xff 0x00000000
GPIO16 0xff 0x00040000
GPIO17 0xff 0x00c50000
GPIO18 0xff 0x00050000
GPIO19 0xff 0x00050000
GPIO20 0xff 0x00050000
GPIO21 0xff 0x00040000
GPIO22 0xff 0x00050000
GPIO23 0xff 0x00050000
GPIO24 0xff 0x00050000
GPIO25 0xff 0x00000000
GPIO26 0xff 0x00c50000
GPIO27 0xff 0x00040000
GPIO28 0xff 0x00000000
GPIO29 0xff 0x00150000
GPIO30 0xff 0x00050000
GPIO31 0xff 0x00150000
GPIO32 0xff 0x00050000
GPIO33 0xff 0x00000000
GPIO34 0xff 0x00000000
GPIO35 0xff 0x00000000
GPIO36 0xff 0x00000000
GPIO37 0xff 0x00000000
GPIO38 0xff 0x00000000
GPIO39 0xff 0x00000000
GPIO40 0xff 0x00c50000
GPIO41 0xff 0x00000000
GPIO42 0xff 0x00050000
GPIO43 0xff 0x00000000
GPIO44 0xff 0x00003800
GPIO45 0xff 0x00000000
GPIO46 0xff 0x00000000
GPIO47 0xff 0x00000000
GPIO48 0xff 0x00000000
GPIO49 0xff 0x00000000
GPIO50 0xff 0x00000000
GPIO51 0xff 0x00000000
GPIO52 0xff 0x00000100
GPIO53 0xff 0x00000000
GPIO54 0xff 0x00000800
GPIO55 0xff 0x00000000
GPIO56 0xff 0x00000000
GPIO57 0xff 0x00000000
GPIO58 0xff 0x00001900
GPIO59 0xff 0x00001900
GPIO60 0xff 0x00000000
GPIO61 0xff 0x00000000
GPIO62 0xff 0x00000000
GPIO63 0xff 0xff000000
GPIO64 0xff 0x00000000
GPIO65 0xff 0x00000000
GPIO66 0xff 0x00000000
GPIO67 0xff 0x00240000
GPIO68 0xff 0x00041800
GPIO69 0xff 0x00240000
GPIO70 0xff 0x00050000
GPIO71 0xff 0x00000000
GPIO72 0xff 0x00000000
GPIO73 0xff 0x00000000
GPIO74 0xff 0x00050000
GPIO75 0xff 0x00840000
GPIO76 0xff 0x00040000
GPIO77 0xff 0x00000000
GPIO78 0xff 0x00000000
GPIO79 0xff 0x00000000
GPIO80 0xff 0x00000000
GPIO81 0xff 0x00000000
GPIO82 0xff 0x00000000
GPIO83 0xff 0x00000000
GPIO84 0xff 0x00040000
GPIO85 0xff 0x00c50000
GPIO86 0xff 0x00150000
GPIO87 0xff 0x00050000
GPIO88 0xff 0x00050000
GPIO89 0xff 0x00040000
GPIO90 0xff 0x00d50000
GPIO91 0xff 0x00040000
GPIO92 0xff 0x00050000
GPIO93 0xff 0x00000000
GPIO94 0xff 0x00000000
GPIO95 0xff 0x00000000
GPIO96 0xff 0x00000000
GPIO97 0xff 0x00000000
GPIO98 0xff 0x00000000
GPIO99 0xff 0x00000000
GPIO100 0xff 0x00000000
GPIO101 0xff 0x00000000
GPIO102 0xff 0x00000000
GPIO103 0xff 0x00000000
GPIO104 0xff 0x00150000
GPIO105 0xff 0x00150000
